f64_no_exceptions,f64_one_exception_per_vector,f64_all_nan,f64_nan_inf_negzero,f64_constant,f64_different_ef_per_vector,f64_with_nulls,f32_no_exceptions,f32_one_exception_per_vector,f32_all_nan,f32_nan_inf_negzero,f32_constant,f32_different_ef_per_vector,f32_with_nulls
0.0,0.0,NaN,NaN,42.0,0.0,,0.0,0.0,NaN,NaN,42.0,0.0,
0.01,0.01,NaN,Infinity,42.0,0.01,0.01,0.01,0.01,NaN,Infinity,42.0,0.01,0.01
0.02,0.02,NaN,-Infinity,42.0,0.02,0.02,0.02,0.02,NaN,-Infinity,42.0,0.02,0.02
0.03,0.03,NaN,-0.0,42.0,0.03,,0.03,0.03,NaN,-0.0,42.0,0.03,
0.04,0.04,NaN,0.4,42.0,0.04,0.04,0.04,0.04,NaN,0.4,42.0,0.04,0.04
0.05,0.05,NaN,0.5,42.0,0.05,0.05,0.05,0.05,NaN,0.5,42.0,0.05,0.05
0.06,0.06,NaN,0.6,42.0,0.06,,0.06,0.06,NaN,0.6,42.0,0.06,
0.07,0.07,NaN,0.7,42.0,0.07,0.07,0.07,0.07,NaN,0.7,42.0,0.07,0.07
0.08,0.08,NaN,0.8,42.0,0.08,0.08,0.08,0.08,NaN,0.8,42.0,0.08,0.08
0.09,0.09,NaN,0.9,42.0,0.09,,0.09,0.09,NaN,0.9,42.0,0.09,
0.1,0.1,NaN,1.0,42.0,0.1,0.1,0.1,0.1,NaN,1.0,42.0,0.1,0.1
0.11,0.11,NaN,1.1,42.0,0.11,0.11,0.11,0.11,NaN,1.1,42.0,0.11,0.11
0.12,0.12,NaN,1.2,42.0,0.12,,0.12,0.12,NaN,1.2,42.0,0.12,
0.13,0.13,NaN,1.3,42.0,0.13,0.13,0.13,0.13,NaN,1.3,42.0,0.13,0.13
0.14,0.14,NaN,1.4,42.0,0.14,0.14,0.14,0.14,NaN,1.4,42.0,0.14,0.14
0.15,0.15,NaN,1.5,42.0,0.15,,0.15,0.15,NaN,1.5,42.0,0.15,
0.16,0.16,NaN,1.6,42.0,0.16,0.16,0.16,0.16,NaN,1.6,42.0,0.16,0.16
0.17,0.17,NaN,1.7,42.0,0.17,0.17,0.17,0.17,NaN,1.7,42.0,0.17,0.17
0.18,0.18,NaN,1.8,42.0,0.18,,0.18,0.18,NaN,1.8,42.0,0.18,
0.19,0.19,NaN,1.9,42.0,0.19,0.19,0.19,0.19,NaN,1.9,42.0,0.19,0.19
0.2,0.2,NaN,2.0,42.0,0.2,0.2,0.2,0.2,NaN,2.0,42.0,0.2,0.2
0.21,0.21,NaN,2.1,42.0,0.21,,0.21,0.21,NaN,2.1,42.0,0.21,
0.22,0.22,NaN,2.2,42.0,0.22,0.22,0.22,0.22,NaN,2.2,42.0,0.22,0.22
0.23,0.23,NaN,2.3,42.0,0.23,0.23,0.23,0.23,NaN,2.3,42.0,0.23,0.23
0.24,0.24,NaN,2.4,42.0,0.24,,0.24,0.24,NaN,2.4,42.0,0.24,
0.25,0.25,NaN,2.5,42.0,0.25,0.25,0.25,0.25,NaN,2.5,42.0,0.25,0.25
0.26,0.26,NaN,2.6,42.0,0.26,0.26,0.26,0.26,NaN,2.6,42.0,0.26,0.26
0.27,0.27,NaN,2.7,42.0,0.27,,0.27,0.27,NaN,2.7,42.0,0.27,
0.28,0.28,NaN,2.8,42.0,0.28,0.28,0.28,0.28,NaN,2.8,42.0,0.28,0.28
0.29,0.29,NaN,2.9,42.0,0.29,0.29,0.29,0.29,NaN,2.9,42.0,0.29,0.29
0.3,0.3,NaN,3.0,42.0,0.3,,0.3,0.3,NaN,3.0,42.0,0.3,
0.31,0.31,NaN,3.1,42.0,0.31,0.31,0.31,0.31,NaN,3.1,42.0,0.31,0.31
0.32,0.32,NaN,3.2,42.0,0.32,0.32,0.32,0.32,NaN,3.2,42.0,0.32,0.32
0.33,0.33,NaN,3.3,42.0,0.33,,0.33,0.33,NaN,3.3,42.0,0.33,
0.34,0.34,NaN,3.4,42.0,0.34,0.34,0.34,0.34,NaN,3.4,42.0,0.34,0.34
0.35,0.35,NaN,3.5,42.0,0.35,0.35,0.35,0.35,NaN,3.5,42.0,0.35,0.35
0.36,0.36,NaN,3.6,42.0,0.36,,0.36,0.36,NaN,3.6,42.0,0.36,
0.37,0.37,NaN,3.7,42.0,0.37,0.37,0.37,0.37,NaN,3.7,42.0,0.37,0.37
0.38,0.38,NaN,3.8,42.0,0.38,0.38,0.38,0.38,NaN,3.8,42.0,0.38,0.38
0.39,0.39,NaN,3.9,42.0,0.39,,0.39,0.39,NaN,3.9,42.0,0.39,
0.4,0.4,NaN,4.0,42.0,0.4,0.4,0.4,0.4,NaN,4.0,42.0,0.4,0.4
0.41,0.41,NaN,4.1,42.0,0.41,0.41,0.41,0.41,NaN,4.1,42.0,0.41,0.41
0.42,0.42,NaN,4.2,42.0,0.42,,0.42,0.42,NaN,4.2,42.0,0.42,
0.43,0.43,NaN,4.3,42.0,0.43,0.43,0.43,0.43,NaN,4.3,42.0,0.43,0.43
0.44,0.44,NaN,4.4,42.0,0.44,0.44,0.44,0.44,NaN,4.4,42.0,0.44,0.44
0.45,0.45,NaN,4.5,42.0,0.45,,0.45,0.45,NaN,4.5,42.0,0.45,
0.46,0.46,NaN,4.6,42.0,0.46,0.46,0.46,0.46,NaN,4.6,42.0,0.46,0.46
0.47,0.47,NaN,4.7,42.0,0.47,0.47,0.47,0.47,NaN,4.7,42.0,0.47,0.47
0.48,0.48,NaN,4.8,42.0,0.48,,0.48,0.48,NaN,4.8,42.0,0.48,
0.49,0.49,NaN,4.9,42.0,0.49,0.49,0.49,0.49,NaN,4.9,42.0,0.49,0.49
0.5,0.5,NaN,5.0,42.0,0.5,0.5,0.5,0.5,NaN,5.0,42.0,0.5,0.5
0.51,0.51,NaN,5.1,42.0,0.51,,0.51,0.51,NaN,5.1,42.0,0.51,
0.52,0.52,NaN,5.2,42.0,0.52,0.52,0.52,0.52,NaN,5.2,42.0,0.52,0.52
0.53,0.53,NaN,5.3,42.0,0.53,0.53,0.53,0.53,NaN,5.3,42.0,0.53,0.53
0.54,0.54,NaN,5.4,42.0,0.54,,0.54,0.54,NaN,5.4,42.0,0.54,
0.55,0.55,NaN,5.5,42.0,0.55,0.55,0.55,0.55,NaN,5.5,42.0,0.55,0.55
0.56,0.56,NaN,5.6,42.0,0.56,0.56,0.56,0.56,NaN,5.6,42.0,0.56,0.56
0.57,0.57,NaN,5.7,42.0,0.57,,0.57,0.57,NaN,5.7,42.0,0.57,
0.58,0.58,NaN,5.8,42.0,0.58,0.58,0.58,0.58,NaN,5.8,42.0,0.58,0.58
0.59,0.59,NaN,5.9,42.0,0.59,0.59,0.59,0.59,NaN,5.9,42.0,0.59,0.59
